Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"3.97000","0.65827","48.87461"
"3.98000","0.66001","49.03469"
"3.99000","0.66171","49.16594"
"4.00000","0.66337","49.28769"
"4.01000","0.66503","49.41109"
"4.02000","0.66670","49.55036"
"4.03000","0.66837","49.69402"
"4.04000","0.67001","49.83909"
"4.05000","0.67165","49.97705"
"4.06000","0.67331","50.10361"
"4.07000","0.67500","50.24366"
"4.08000","0.67670","50.39063"
"4.09000","0.67840","50.51124"
"4.10000","0.68011","50.64536"
"4.11000","0.68182","50.78914"
"4.12000","0.68350","50.91619"
"4.13000","0.68514","51.04095"
"4.14000","0.68672","51.14911"
"4.15000","0.68831","51.26259"
"4.16000","0.68992","51.38111"
"4.17000","0.69155","51.49818"
"4.18000","0.69317","51.61890"
"4.19000","0.69480","51.73597"
"4.20000","0.69646","51.85168"
"4.21000","0.69820","51.98314"
"4.22000","0.69999","52.13658"
"4.23000","0.70176","52.29615"
"4.24000","0.70346","52.43228"
"4.25000","0.70507","52.54035"
"4.26000","0.70663","52.64318"
"4.27000","0.70817","52.75457"
"4.28000","0.70971","52.87561"
"4.29000","0.71129","52.99531"
"4.30000","0.71292","53.11137"
"4.31000","0.71462","53.23018"
"4.32000","0.71634","53.34835"
"4.33000","0.71804","53.47189"
"4.34000","0.71974","53.59880"
"4.35000","0.72146","53.72167"
"4.36000","0.72317","53.86152"
"4.37000","0.72483","53.99928"
"4.38000","0.72641","54.12758"
"4.39000","0.72794","54.23879"
"4.40000","0.72950","54.35892"
"4.41000","0.73114","54.50318"
"4.42000","0.73286","54.64849"
"4.43000","0.73462","54.78947"
"4.44000","0.73638","54.93889"
"4.45000","0.73813","55.08612"
"4.46000","0.73987","55.23171"
"4.47000","0.74157","55.34754"
"4.48000","0.74323","55.46379"
"4.49000","0.74489","55.58958"
"4.50000","0.74654","55.71859"
"4.51000","0.74818","55.84592"
"4.52000","0.74980","55.96552"
"4.53000","0.75142","56.09300"
"4.54000","0.75307","56.23370"
"4.55000","0.75481","56.39086"
"4.56000","0.75660","56.54417"
"4.57000","0.75842","56.71651"
"4.58000","0.76019","56.87743"
"4.59000","0.76192","57.01031"
"4.60000","0.76361","57.12741"
"4.61000","0.76524","57.25502"
"4.62000","0.76682","57.36811"
"4.63000","0.76838","57.47527"
"4.64000","0.76994","57.58994"
"4.65000","0.77156","57.69947"
"4.66000","0.77322","57.83050"
"4.67000","0.77492","57.97097"
"4.68000","0.77664","58.11725"
"4.69000","0.77839","58.26100"
"4.70000","0.78013","58.41156"
"4.71000","0.78183","58.54403"
"4.72000","0.78346","58.66173"
"4.73000","0.78504","58.77789"
"4.74000","0.78663","58.89764"
"4.75000","0.78825","59.01635"
"4.76000","0.78988","59.11774"
"4.77000","0.79149","59.22844"
"4.78000","0.79312","59.36737"
"4.79000","0.79481","59.51858"
"4.80000","0.79655","59.69818"
"4.81000","0.79829","59.83828"
"4.82000","0.79998","59.95870"
"4.83000","0.80163","60.07792"
"4.84000","0.80325","60.18809"
"4.85000","0.80488","60.32245"
"4.86000","0.80653","60.47006"
"4.87000","0.80820","60.61102"
"4.88000","0.80990","60.75178"
"4.89000","0.81162","60.88544"
"4.90000","0.81333","61.00630"
"4.91000","0.81498","61.11602"
"4.92000","0.81660","61.23308"
"4.93000","0.81821","61.36072"
"4.94000","0.81985","61.49248"
"4.95000","0.82150","61.63221"
"4.96000","0.82312","61.76940"
"4.97000","0.82472","61.88925"
"4.98000","0.82635","62.02054"
"4.99000","0.82805","62.15714"
"5.00000","0.82982","62.31091"
"5.01000","0.83159","62.44353"
"5.02000","0.83334","62.56329"
"5.03000","0.83504","62.68727"
"5.04000","0.83670","62.81199"
"5.05000","0.83834","62.94295"
"5.06000","0.83996","63.05950"
"5.07000","0.84160","63.17922"
"5.08000","0.84328","63.30516"
"5.09000","0.84500","63.44152"
"5.10000","0.84671","63.58524"
"5.11000","0.84840","63.72813"
"5.12000","0.85007","63.85228"
"5.13000","0.85173","63.97463"
"5.14000","0.85340","64.08682"
"5.15000","0.85503","64.20836"
"5.16000","0.85661","64.30009"
"5.17000","0.85816","64.39634"
"5.18000","0.85974","64.50564"
"5.19000","0.86138","64.62567"
"5.20000","0.86308","64.75663"
"5.21000","0.86480","64.90135"
"5.22000","0.86653","65.06345"
"5.23000","0.86829","65.21002"
"5.24000","0.87005","65.33257"
"5.25000","0.87182","65.43897"
"5.26000","0.87354","65.53359"
"5.27000","0.87523","65.63323"
"5.28000","0.87687","65.74403"
"5.29000","0.87846","65.84048"
"5.30000","0.88000","65.93994"
"5.31000","0.88153","66.02723"
"5.32000","0.88308","66.13842"
"5.33000","0.88470","66.28190"
"5.34000","0.88636","66.42124"
"5.35000","0.88802","66.54686"
"5.36000","0.88965","66.66376"
"5.37000","0.89130","66.77517"
"5.38000","0.89299","66.88496"
"5.39000","0.89470","67.01173"
"5.40000","0.89638","67.13444"
"5.41000","0.89801","67.23161"
"5.42000","0.89959","67.33412"
"5.43000","0.90118","67.45775"
"5.44000","0.90282","67.59177"
"5.45000","0.90452","67.74442"
"5.46000","0.90628","67.88934"
"5.47000","0.90808","68.04900"
"5.48000","0.90988","68.22791"
"5.49000","0.91163","68.37641"
"5.50000","0.91330","68.49984"
"5.51000","0.91492","68.60950"
"5.52000","0.91652","68.72920"
"5.53000","0.91815","68.84935"
