Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"4.72000","0.78325","65.70900"
"4.73000","0.78495","65.86790"
"4.74000","0.78663","65.99914"
"4.75000","0.78827","66.10479"
"4.76000","0.78987","66.21902"
"4.77000","0.79148","66.34988"
"4.78000","0.79313","66.49915"
"4.79000","0.79479","66.66132"
"4.80000","0.79644","66.80721"
"4.81000","0.79806","66.93727"
"4.82000","0.79971","67.06506"
"4.83000","0.80142","67.20160"
"4.84000","0.80319","67.35024"
"4.85000","0.80497","67.50725"
"4.86000","0.80671","67.65948"
"4.87000","0.80840","67.80588"
"4.88000","0.81007","67.92863"
"4.89000","0.81171","68.04847"
"4.90000","0.81334","68.17604"
"4.91000","0.81499","68.30116"
"4.92000","0.81668","68.44820"
"4.93000","0.81840","68.60579"
"4.94000","0.82011","68.75854"
"4.95000","0.82179","68.91245"
"4.96000","0.82344","69.07583"
"4.97000","0.82509","69.21696"
"4.98000","0.82674","69.34461"
"4.99000","0.82836","69.48429"
"5.00000","0.82992","69.60961"
"5.01000","0.83147","69.72041"
"5.02000","0.83306","69.84743"
"5.03000","0.83472","69.97769"
"5.04000","0.83642","70.11668"
"5.05000","0.83815","70.26266"
"5.06000","0.83989","70.40406"
"5.07000","0.84164","70.53882"
"5.08000","0.84340","70.69398"
"5.09000","0.84514","70.85043"
"5.10000","0.84685","71.00921"
"5.11000","0.84852","71.14603"
"5.12000","0.85016","71.28550"
"5.13000","0.85175","71.41035"
"5.14000","0.85330","71.51818"
"5.15000","0.85483","71.61975"
"5.16000","0.85639","71.74180"
"5.17000","0.85801","71.87610"
"5.18000","0.85967","72.01945"
"5.19000","0.86133","72.16119"
"5.20000","0.86297","72.29190"
"5.21000","0.86462","72.42347"
"5.22000","0.86631","72.57298"
"5.23000","0.86802","72.71185"
"5.24000","0.86970","72.84010"
"5.25000","0.87132","72.97453"
"5.26000","0.87291","73.09482"
"5.27000","0.87451","73.22321"
"5.28000","0.87616","73.34422"
"5.29000","0.87787","73.48319"
"5.30000","0.87964","73.63393"
"5.31000","0.88145","73.80043"
"5.32000","0.88325","73.96252"
"5.33000","0.88499","74.11844"
"5.34000","0.88665","74.26282"
"5.35000","0.88825","74.39557"
"5.36000","0.88984","74.52953"
"5.37000","0.89146","74.66086"
"5.38000","0.89307","74.77370"
"5.39000","0.89467","74.89773"
"5.40000","0.89628","75.01418"
"5.41000","0.89795","75.14242"
"5.42000","0.89972","75.29737"
"5.43000","0.90157","75.47266"
"5.44000","0.90343","75.64309"
"5.45000","0.90524","75.80061"
"5.46000","0.90698","75.94153"
"5.47000","0.90865","76.07129"
"5.48000","0.91025","76.17394"
"5.49000","0.91181","76.29198"
"5.50000","0.91340","76.43023"
"5.51000","0.91504","76.56749"
"5.52000","0.91672","76.68515"
"5.53000","0.91840","76.81096"
"5.54000","0.92006","76.94175"
"5.55000","0.92174","77.07172"
"5.56000","0.92345","77.22723"
"5.57000","0.92515","77.37869"
"5.58000","0.92680","77.50912"
"5.59000","0.92841","77.63363"
"5.60000","0.92998","77.75822"
"5.61000","0.93158","77.88693"
"5.62000","0.93320","78.01716"
"5.63000","0.93484","78.14134"
"5.64000","0.93648","78.25214"
"5.65000","0.93814","78.38266"
"5.66000","0.93983","78.53328"
"5.67000","0.94152","78.69665"
"5.68000","0.94319","78.83945"
"5.69000","0.94485","78.95900"
"5.70000","0.94652","79.09298"
"5.71000","0.94820","79.24017"
"5.72000","0.94987","79.37215"
"5.73000","0.95153","79.50919"
"5.74000","0.95317","79.64472"
"5.75000","0.95486","79.77566"
"5.76000","0.95658","79.90955"
"5.77000","0.95828","80.05547"
"5.78000","0.95995","80.18841"
"5.79000","0.96158","80.31007"
"5.80000","0.96324","80.44799"
"5.81000","0.96492","80.58760"
"5.82000","0.96660","80.73996"
"5.83000","0.96826","80.87959"
"5.84000","0.96990","81.01523"
"5.85000","0.97154","81.14465"
"5.86000","0.97321","81.27283"
"5.87000","0.97489","81.41426"
"5.88000","0.97659","81.55970"
"5.89000","0.97830","81.70360"
"5.90000","0.98002","81.84354"
"5.91000","0.98172","81.97560"
"5.92000","0.98338","82.09238"
"5.93000","0.98501","82.21479"
"5.94000","0.98666","82.34602"
"5.95000","0.98834","82.49695"
"5.96000","0.99004","82.63640"
"5.97000","0.99171","82.77821"
"5.98000","0.99333","82.89838"
"5.99000","0.99494","83.00410"
"6.00000","0.99658","83.12924"
"6.01000","0.99824","83.26752"
"6.02000","0.99990","83.40617"
"6.03000","1.00154","83.53883"
"6.04000","1.00316","83.67500"
"6.05000","1.00478","83.81606"
"6.06000","1.00643","83.95413"
"6.07000","1.00809","84.09843"
"6.08000","1.00978","84.22555"
"6.09000","1.01153","84.37749"
"6.10000","1.01331","84.53732"
"6.11000","1.01509","84.68818"
"6.12000","1.01682","84.82684"
"6.13000","1.01851","84.96136"
"6.14000","1.02017","85.08500"
"6.15000","1.02180","85.21052"
"6.16000","1.02339","85.31857"
"6.17000","1.02494","85.42318"
"6.18000","1.02647","85.53696"
"6.19000","1.02804","85.66100"
"6.20000","1.02969","85.79431"
"6.21000","1.03139","85.94540"
"6.22000","1.03309","86.09319"
"6.23000","1.03477","86.21523"
"6.24000","1.03643","86.33213"
"6.25000","1.03808","86.46830"
"6.26000","1.03970","86.60957"
"6.27000","1.04131","86.74335"
"6.28000","1.04293","86.88953"
"6.29000","1.04459","87.04792"
"6.30000","1.04629","87.19271"
"6.31000","1.04800","87.31737"
"6.32000","1.04970","87.44036"
"6.33000","1.05141","87.56918"
"6.34000","1.05315","87.71453"
"6.35000","1.05489","87.85698"
"6.36000","1.05658","87.97952"
"6.37000","1.05820","88.11629"
"6.38000","1.05980","88.25420"
"6.39000","1.06142","88.39270"
"6.40000","1.06308","88.52076"
"6.41000","1.06475","88.65631"
"6.42000","1.06643","88.78504"
"6.43000","1.06811","88.92729"
"6.44000","1.06982","89.08408"
"6.45000","1.07157","89.26640"
"6.46000","1.07334","89.44977"
"6.47000","1.07513","89.60185"
"6.48000","1.07691","89.74769"
"6.49000","1.07864","89.86978"
"6.50000","1.08029","89.98037"
"6.51000","1.08186","90.09293"
"6.52000","1.08341","90.21064"
"6.53000","1.08500","90.34517"
"6.54000","1.08665","90.49187"
"6.55000","1.08833","90.62916"
"6.56000","1.09001","90.77152"
"6.57000","1.09168","90.90305"
"6.58000","1.09336","91.04095"
"6.59000","1.09508","91.17549"
"6.60000","1.09678","91.29499"
"6.61000","1.09844","91.40923"
